,D,m3C,Um,s2C,s2U,ho5U,m5D,I,f5C,m4Cm,f5U,m5Um,hm5C,m5s2U,mo5U,Qbase,m1A,m1I,ac4C,m42Cm,f5Um,mnm5U,f5s2U,nm5s2U,m6Am,m1Im,m1G,ac4Cm,ncm5U,cm5U,mnm5s2U,preQ0,m1Gm,ncm5Um,mcm5U,cmo5U,imG-14,G+,m22Gm,mcm5s2U,mcmo5U,i6A,nm5se2U,acp3U,cmnm5s2U,mnm5se2U,io6A,acp3Um,g6A,k2C,ms2i6A,ms2io6A,Q,t6A,m6t6A,yW-58,ms2t6A,ms2hn6A,Ar(p),Gr(p),yW,galQ
HEK (R1),0.3953,0.7291,0.3893,,,,,0.0037,,,,0.0301,,,,,0.2528,,0.6717,,,,,,0.0156,,0.5736,0.0023,,,,,0.1099,,,,,,,,,0.0013,,0.0502,,,,,,,,,0.0014,0.046,,,,,,,,0.005
HEK (R2),0.2698,0.6572,0.4511,,,,,0.0298,0.0015,,,0.0217,,,,,0.3686,,0.6121,,,,,,0.0232,,0.5966,0.0048,0.0066,,,,0.079,,,,,,0.001,,,0.0005,,0.0354,,,,0.0042,,0.0091,,,0.003,0.0422,,,,,,,,0.0055
HEK (R3),0.3531,0.7479,0.4372,,,,,0.0359,,,,0.0301,,,,,0.2787,,0.6548,,,,,,0.0218,,0.5588,0.0018,0.0081,,,,0.1105,,,,,,,,0.0008,0.0009,,0.0487,,,,,,0.0055,,,0.0053,0.0505,,,,,,,,0.0104
HEK (R4),0.4335,0.7708,0.4142,,,,,0.0378,,,,0.0316,,,,,0.2864,,0.6828,,,,,,0.0207,,0.7301,0.0052,0.0039,,,,0.1317,,,,,,,,0.0005,0.0014,,0.0572,,,,,,0.0199,,,0.0085,0.0602,,,,,,,,0.0181
HEK (R5),0.3507,0.7313,0.4168,,,,,0.0387,,,,0.0287,,,,,0.2943,,0.6762,0.0014,,,,,0.0217,,0.6272,0.0049,0.0102,,,,0.1126,,,,,,,,0.0013,0.0012,,0.0502,,,,,,0.0016,,,0.0063,0.054,0.0007,,,,,,,0.0166
HEK (R6),0.2505,0.637,0.4292,,,,,0.0258,,,,0.023,,,,,0.3194,,0.6346,,,,,,0.0223,,0.5732,0.0048,,,,,0.0798,,,,,,,,0.0008,,,0.0353,,,,0.0022,,0.007,,,0.0042,0.041,,,,,,,,0.0067
HEK (R7),0.314,0.7264,0.4684,,,,,0.0342,,,,0.0224,,,,,0.4282,,0.6092,,,,,,0.0197,,0.6461,0.0034,0.0064,,,,0.0901,,,,,,0.0023,,0.0009,0.0009,,0.0371,,,,0.0061,,0.0016,,,0.0041,0.0453,,,,,,,,0.0087
HEK (R8),0.5167,0.9133,0.5534,,,,,0.0537,,,,0.0353,,,,,0.4835,,0.5996,,,,,,0.0227,,0.7681,0.0044,0.0114,,,,0.1514,,,,,0.0006,0.0043,,0.002,0.0019,,0.0638,,,,0.0044,,0.0138,,,0.0084,0.069,,,,,,,,0.0155
HEK (R9),0.3646,0.7968,0.4912,,,,,0.0423,,,,0.0271,,,,,0.4414,,0.5965,,,,,,0.0193,,0.6728,0.0064,0.0096,,,,0.1124,,,,,,0.0025,,0.0016,0.0013,,0.0491,,,,0.0078,,0.0085,,,0.0058,0.052,0.0004,,,,,,,0.01
HEK (R10),0.1659,0.5845,0.4188,,,,0.0233,0.0186,0.0097,,,0.0132,,,,,0.3886,,0.5784,0.001,,,,,0.0231,,0.5343,,,,,,0.0436,,0.0188,,,0.0131,0.0099,,,,,0.0183,,,,0.0045,,0.0054,,,,0.0274,,,,,,,,0.0013
HEK (R11),0.4626,0.8421,0.4679,,,,,0.0474,,,,0.0352,,,,,0.3506,,0.641,,,,,,0.0259,,0.6669,0.0042,0.012,,,,0.1478,,,,,,,,0.001,0.0028,,0.0617,,,,,,0.0003,,,0.0081,0.0655,,,,,,,,0.0155
HEK (R12),0.524,0.8797,0.4468,,,,,0.0453,,,,0.0388,,,,,0.3122,0.0888,0.6611,,,,,,0.0237,,0.6735,,,,,,0.1705,,,,,,,,0.0014,0.0017,,0.0701,,,,,,,,,0.0061,0.0775,,,,,,,,0.0175
