,D,m3C,Um,s2C,s2U,ho5U,m5D,I,f5C,m4Cm,f5U,m5Um,hm5C,m5s2U,mo5U,Qbase,m1A,m1I,ac4C,m42Cm,f5Um,mnm5U,f5s2U,nm5s2U,m6Am,m1Im,m1G,ac4Cm,ncm5U,cm5U,mnm5s2U,preQ0,m1Gm,ncm5Um,mcm5U,cmo5U,imG-14,G+,m22Gm,mcm5s2U,mcmo5U,i6A,nm5se2U,acp3U,cmnm5s2U,mnm5se2U,io6A,acp3Um,g6A,k2C,ms2i6A,ms2io6A,Q,t6A,m6t6A,yW-58,ms2t6A,ms2hn6A,Ar(p),Gr(p),yW,galQ
S. typhimurium(R6),1.8831,0.0754,1.092,0.0453,0.2193,,,0.0421,,,,,,,,,0.2707,0.0902,0.5147,,,0.0029,,,,,0.9335,0.0014,,,0.0662,,,,,0.1597,,,,,,,,0.1874,,,,,,,0.0159,0.0714,0.1319,0.0674,0.0108,,,,,,,
S. typhimurium(R7),1.8985,0.0381,1.0928,0.048,0.0874,,,0.0438,,,,,,,,,0.2716,0.0903,0.5182,,,0.001,,,,,0.8496,,,,0.0659,,,,,0.1654,,,,,,,,0.1079,,,,,,,0.0079,0.0507,0.119,0.0534,0.0057,,,,,,,
S. typhimurium (R8),1.8928,0.0744,1.1224,0.0459,0.2132,,,0.0459,,,,,,,,,0.2688,,0.5214,,,0.0044,,,,,0.9278,0.0021,,,0.0659,,,,,0.1725,,,,,,,,0.1919,0.0019,,,,,,0.0162,0.0716,0.1272,0.0753,0.0173,,,,,,,
S. typhimurium (R9),1.8496,0.0782,1.099,0.0463,0.146,,,0.0457,,,,,,,,,0.2588,,0.537,,,0.0062,,,,,0.9054,0.0046,,,0.0612,,,,,0.1672,,,,,,,,0.1935,,,,,,,0.02,0.0681,0.1233,0.0754,0.0215,,,,,,,
S. typhimurium (R10),1.8326,0.0701,1.0396,0.0396,0.1344,,,0.0315,,,,,,,,,0.2584,,0.5043,,,,,,,,0.8762,,,,0.0562,,,,,0.153,,,,,,,,0.1764,,,,,,,0.0166,0.0692,0.1249,0.0577,0.009,,,,,,,
S. typhimurium (R11),1.8655,0.0427,1.0663,0.0164,0.1141,,,0.0159,,,,,,,,,0.2569,0.0618,0.4705,,,,,,,,0.8396,,,,0.0315,,,,,0.1565,,,,,,,,0.1637,,,,,,,,0.0487,0.1067,0.0376,,,,,,,,
S. typhimurium (R12),1.8342,0.0496,1.0251,0.0178,0.1525,,,0.0262,,,,,,,,,0.258,0.0569,0.4847,,,,,,,,0.8477,,,,0.0402,,,,,0.1477,,,,,,,,0.1765,,,,,,,,0.0436,0.118,0.0423,,,,,,,,
S. typhimurium (R13),1.7261,0.0408,0.9869,,0.0445,,,0.0157,,,,,,,,,0.2404,0.0621,0.4789,,,,,,,,0.798,,,,0.0201,,,,,0.1232,,,,,,,,0.1506,,,,,,,,0.0406,0.0961,0.0491,0.0023,,,,,,,
S. typhimurium (R14),1.8814,0.0716,1.0863,0.0348,0.0982,,,0.0405,,,,,,,,,0.2646,0.0716,0.5031,,,,,,,,0.8699,,,,0.0539,,,,,0.1655,,,,,,,,0.1934,0.0011,,,,,,0.006,0.0608,0.1247,0.0785,0.0104,,,,,,,
S. typhimurium (R15),2.0065,0.0804,1.2078,0.0423,0.0958,,,0.0492,,,,,,,,,0.2724,,0.5537,,,0.0099,,,,,0.9378,0.0076,,,0.0549,,,,,0.2134,,,,,,,,0.2229,0.0095,,,,,,0.0099,0.075,0.1311,0.0945,0.0252,,,,,,,
S. typhimurium (R16),1.8193,0.0799,1.0897,0.0414,0.0524,,,0.0476,,,,,,,,,0.2594,,0.5395,,,0.0109,,,,,0.8802,0.004,,,0.0543,,,,,0.1638,,,,,,,,0.1923,0.0014,,,,,,0.0086,0.0648,0.1306,0.078,0.0206,,,,,,,
S. typhimurium (R17),1.9041,0.0766,1.1354,0.041,0.0041,,,0.048,,,,,,,,,0.2621,0.0919,0.531,,,0.0087,,,,,0.8701,0.0037,,,0.0533,,,,,0.1684,,,,,,,,0.1959,,,,,,,0.0199,0.0688,0.1286,0.079,,,,,,,,
S. typhimurium (R18),1.931,0.0745,1.1486,0.0465,0.1866,,,0.0441,,,,,,,,,0.2615,0.0808,0.5277,,,0.0042,,,,,0.8872,0.0027,,,0.0612,,,,,0.1911,,,,,,,,0.2021,0.2021,,,,,,0.0138,0.0718,0.124,0.0821,,,,,,,,
S. typhimurium(R19),2.0672,0.0755,1.2126,0.0497,0.2742,,,0.0491,,,,,,,,,0.2775,,0.5305,,,0.0058,,,,,0.9458,0.0037,,,0.073,,,,,0.2015,,,,,,,,0.22,0.0017,,,,,,0.0177,0.0748,0.1354,0.0849,0.0162,,,,,,,
S. typhimurium (R20),1.8969,0.0773,1.1303,0.0455,0.1082,,,0.0466,,,,,,,,,0.2691,,0.5398,,,0.0081,,,,,0.9225,0.0027,,,0.0647,,,,,0.1739,,,,,,,,0.207,0.002,,,,,,0.0223,0.069,0.1336,0.0852,0.0218,,,,,,,
S. typhimurium (R21),1.8995,0.0708,1.1228,0.0426,0.1827,,,0.044,,,,,,,,,0.2587,,0.5303,,0.0007,0.0027,,,,,0.8779,,,,0.063,,,,,0.1782,,,,,,,,0.203,,,,,,,,0.0635,0.1257,0.0781,0.0138,,,,,,,
S. typhimurium (R22),1.8655,0.0765,1.1119,0.045,0.1338,,,0.0487,,,,,,,,,0.271,,0.5445,,,0.0093,,,,,0.9478,0.0038,,,0.0601,,,,,0.1647,,,,,,,,0.1877,0.0015,,,,,,0.0094,0.0692,0.1393,0.0812,0.0216,,,,,,,
S. typhimurium (R23),1.8728,0.0761,1.131,0.0449,0.2343,,,0.0448,,,,,,,,,0.2593,0.0634,0.539,,,0.0061,,,,,0.8809,0.0034,,,0.0664,,,,,0.1824,,,,,,,,0.2002,0.0033,,,,,,0.0212,0.0691,0.1254,0.0764,0.0175,,,,,,,
S. typhimurium (R24),1.9401,0.0781,1.1674,0.0444,0.1169,,,0.0473,,,,,,,,,0.2645,0.079,0.5459,,,0.0078,,,,,0.8999,0.0041,,,0.0612,,,,,0.1943,,,,,,,,0.2174,0.0025,,,,,,0.0237,0.0736,0.1277,0.0841,,,,,,,,
S. typhimurium (R25),1.93,0.0751,1.1519,0.0466,0.1472,,,0.0445,,,,,,,,,0.2626,,0.5361,,,0.0082,,,,,0.876,0.0036,,,0.0605,,,,,0.1874,,,,,,,,0.208,0.0037,,,,,,0.0233,0.0679,0.1238,0.0829,0.0214,,,,,,,
E. coli (R1),1.3372,0.0211,0.8895,0.0422,0.0422,,0.0857,0.023,,,,,,,0.0734,,0.2239,,0.5242,,,,,,,,0.6874,0.0008,,,0.0547,,,,,0.134,,,,,,,,0.1305,0.0007,,,,,,,,0.1037,0.0417,0.0015,,,,,,,
E. coli (R2),1.459,0.0098,0.9375,0.0255,0.3185,,,0.0192,,,,,,,,,0.2528,,0.5197,,,,,,,,0.7516,0.7516,,,0.0528,,,,,0.1507,,,0.0073,,,,,0.1257,,,,,,,0.0355,,0.0999,0.0452,0.0016,,,,,,,
E. coli (R3),1.3136,0.0332,0.8645,0.0411,0.3537,,0.1372,0.0268,,,,,,,0.0405,,0.2126,,0.5328,,,,,0.034,,,0.7097,,,,0.0609,,,,,0.1318,,,,,,,,0.1394,,,,,,,0.0712,,0.1197,0.0426,0.0015,,,,,,,
E. coli (R4),1.3689,0.0256,0.8981,0.0378,0.3769,,0.2151,0.0249,,,,,,,0.1261,,0.2367,,0.5136,,,,,,,,0.681,,,,0.0575,,,,,0.1312,,,,,,,,0.1371,,,,,,,0.0743,,0.1114,0.0297,,,,,,,,
E. coli (R5),1.3975,0.0362,0.9201,0.044,0.3859,,0.1151,0.0302,,,,,,,0.0476,,0.2324,,0.5195,,,,,,,,0.7346,0.0012,,,0.0649,,,,,0.1347,,,,,,,,0.1503,,,,,,,0.0616,,0.1128,0.0431,0.0033,,,,,,,
E. coli (R6),1.4636,0.0373,0.9506,0.0388,0.4162,,0.0833,0.0275,,,,,,,,,0.2488,,0.5109,,,,,,,,0.7287,,,,0.0663,,,,,0.1418,,,,,,0.0011,,0.1571,,,,,,,0.071,,0.1113,0.0456,0.0025,,,,,,,
E. coli (R7),1.2227,,0.794,0.0115,0.3318,,,0.0045,,,,,,,,,0.1976,,0.4656,,,,,,,,0.595,,,,0.0225,,,,,0.1066,,,,,,,,0.0967,,,,,,,0.0294,,0.0722,,,,,,,,,
E. coli (R8),1.5188,0.0212,0.9749,0.0352,0.4542,,0.1368,0.0162,,,,,,,0.0162,,0.2429,,0.5,,,,,0.0928,,,0.714,,,,0.0531,,,,,0.1506,,,,,,,,0.1641,,,,,,,0.0711,,0.1002,0.0361,,,,,,,,
E. coli (R9),1.3168,0.0171,0.859,0.0441,0.2873,,,0.0236,,,,,,,,,0.2323,,0.4892,,,,,,,,0.6508,,,,0.0577,,,,,0.1234,,,,,,,,0.1331,,,,,,,0.0724,,0.1069,0.0218,0.001,,,,,,,
E. coli (R10),1.3768,0.0296,0.9134,0.0466,0.3694,,,0.0273,,,,,,,,,0.2335,,0.5039,,,,,,,,0.6792,0.0013,,,0.0656,,,,,0.1323,,,,,,0.0013,,0.1334,,,,,,,0.0732,,0.1088,0.0414,,,,,,,,
E. coli (R11),1.2628,0.014,0.8177,0.0321,0.3485,,0.0495,0.009,,,,,,,,,0.2032,,0.5031,,,,,0.0197,,,0.6363,,,,0.0482,,,,,0.117,,,,,,,,0.1027,,,,,,,0.0616,,0.103,0.0272,,,,,,,,
E. coli (R12),1.3062,0.0291,0.8242,0.03,0.3203,,0.0304,0.0167,,,,,,,,,0.1998,,0.5155,,,,,0.0207,,,0.6309,,,,0.0477,,,,,0.1231,,,,,,,,0.1239,,,,,,,0.062,,0.0976,0.033,,,,,,,,
E. coli (R13),1.4107,0.0314,0.9169,0.0384,0.3943,,0.0346,0.0254,,,,,,,,,0.2349,,0.5077,,,,,0.0183,,,0.7038,,,,0.0659,,,,,0.1312,,,,,,,,0.1525,,,,,,,0.0655,,0.1056,0.0503,0.0035,,,,,,,
E. coli (R14),1.2212,0.013,0.7857,0.0207,0.3156,,,0.0095,,,,,,,,,0.1944,,0.4943,,,,,,,,0.6009,,,,0.038,,,,,0.113,,,,,,,,0.1242,,,,,,,0.0368,,0.096,0.0247,,,,,,,,
E. coli (R15),1.4758,0.0364,0.9785,0.0541,0.4468,,,0.0355,,,,,,,,,0.2289,0.0474,0.5166,,,,,,,,0.6598,,,,0.0653,,,,,0.15,,,,,,0.0024,,0.152,,,,,,,0.0639,,,,,,,,,,,
E. coli (R16),1.2512,0.0069,0.8783,0.0422,0.166,,0.1326,0.0277,,,,,,,,,0.2175,0.0493,0.5226,,,,,,,,0.5883,,,,0.0474,,,,,0.1388,,,,,,0.001,,0.063,,,,,,,0.0623,,0.1031,0.0562,,,,,,,,
E. coli (R17),1.4692,0.0387,0.9602,0.0474,0.4155,,0.2585,0.0308,,,,,,,,,0.2274,0.0386,0.509,,,,,,,0.0112,0.6627,,,,0.0694,,,,,0.1436,,,,,,,,0.1596,,,,,,,0.0515,,0.1056,0.047,0.0057,,,,,,,
E. coli (R18),1.4191,0.0415,0.9256,0.0468,0.3844,,,0.0326,,,,,,,,,0.2197,0.0452,0.5287,,,,,,,,0.6984,0.0017,,,0.0559,,,,,0.1403,,,,,,0.0008,,0.1544,,,,,,,,,0.0837,,,,,,,,,
E. coli (R19),1.2863,,0.7873,0.0254,0.2245,,,0.0071,,,,,,,,,0.2073,0.0368,0.5136,,,,,,,,0.5191,,,,0.03,,,,,0.1121,,,,,,,,,,,,,,,0.0608,,,,,,,,,,,
E. coli (R20),1.4896,0.0286,0.9715,0.0426,0.4284,,,0.0287,,,,,,,,,0.2338,0.0458,0.5184,,,,,,,,0.6963,,,,0.0672,,,,,0.147,,,,,,,,0.1583,,,,,,,,,,,,,,,,,,
E. coli (R21),1.5119,0.0337,0.9943,0.0464,0.4018,,0.1218,0.0316,,,,,,,,,0.2389,0.0464,0.5086,,,,,,,,0.6978,,,,0.0603,,,,,0.1462,,,,,,,,0.1665,,,,,,,0.0646,,0.1079,0.0521,0.0024,,,,,,,
E. coli (R22),1.2315,0.0314,0.8139,0.0329,0.2931,,0.0851,0.0186,,,,,,,,,0.1923,0.0421,0.5216,,,,,,,,0.5895,,,,0.0474,,,,,0.1192,,,,,,,,0.1228,,,,,,,0.0553,,0.0925,0.0394,,,,,,,,
E. coli (R23),1.4741,0.0177,0.9634,0.0332,0.4112,,0.2203,0.0194,,,,,,,,,0.2283,0.0299,0.487,,,,,0.1103,,,0.6358,,,,0.0578,,,,,0.1491,,,,,,,,0.1568,,,,,,,0.058,,0.0974,0.043,,,,,,,,
E. coli (R24),1.4419,0.0236,0.9001,0.0352,0.3784,,,0.0162,,,,,,,,,0.2211,,0.5041,,,,,,,,0.6229,,,,0.0489,,,,,0.1364,,,,,,,,0.145,,,,,,,0.0531,,0.0979,0.0419,,,,,,,,
E. coli (R25),1.4766,0.0368,0.9689,0.0489,0.4141,,,0.0336,,,,,,,,,0.232,,0.5226,,,,,,,,0.6479,,,,0.0513,,,,,0.1448,,,,,,,,0.1508,,,,,,,0.0675,,0.1003,0.0529,0.0054,,,,,,,
H. salinarium (R1),,0.4322,0.21,,,,0.1228,,,,,,,,,,0.0151,0.1314,0.4908,,,,,,0.014,,0.085,,,,,,0.115,,,,,0.1022,,,,,,,,,,,,,,,,0.0074,,,,,,,,
H. salinarium (R2),,0.5365,0.2431,,,,0.0454,,,,,,,,,,0.0205,0.1614,0.5189,,,,,,0.0298,,0.1034,,,,,,0.1484,,,,,0.1422,,,,,,0.0057,,,,,,,,,,0.0232,,,,,,,,
H. salinarium (R3),,0.5558,0.2541,,0.0016,,,,,,,,,,,,0.0067,0.1805,0.4755,,,,,,0.0098,,0.1013,,,,,,0.1452,,,,,0.1287,,,,,,,,,,,,,,,,0.0086,,,,,,,,
H. salinarium (R4),,0.2829,0.145,,,,,,,,,,,,,,0.0076,0.0834,0.4795,,,,,,0.013,,0.0612,,,,,,0.0747,,,,,0.0652,,,,,,0.0021,,,,,,,,,,,,,,,,,,
H. salinarium (R5),,1.096,0.4675,,0.0082,,,,,,,,,,,,0.0054,0.3409,0.5011,,,,,,0.0088,,0.1833,,,,,,0.2853,,,,0.0058,0.2776,,0.0039,,,,,,,,,,,,,,0.0509,,,,,,,,
H. salinarium (R6),,0.604,0.2759,,0.0065,,0.0637,,,,,,,,,,0.0284,0.1839,0.5392,,,,,,0.0307,,0.124,,,,,,0.1772,,,,0.006,0.1617,,0.005,,,,,,,,,,,,,,,,,,,,,,
H. salinarium (R7),,0.4033,0.1837,,,,,,,,,,,,,,0.021,0.1214,0.4953,,,,,,0.0199,,0.0876,,,,,,0.1138,,,,,0.1041,,,,,,0.0046,,,,,,,,,,0.0079,,,,,,,,
H. salinarium (R8),,0.5409,0.2506,,,,,,,,,,,,,,0.0107,0.1692,0.4925,,,,,,0.0105,,0.1061,,,,,,0.1454,,,,,0.1368,,,,,,,,,,,,,,,,0.0127,,,,,,,,
H. salinarium (R9),,0.7121,0.3084,,,,0.301,,,,,,,,,,0.0022,0.2207,0.4841,,,,,0.1612,0.0032,,0.1187,,,,,,0.1868,,,,,0.1779,,,,,,,,,,,,,,,,0.0104,,,,,,,,
H. salinarium (R10),,0.494,0.2302,,,,,,,,,,,,,,0.0172,0.1511,0.4842,,,,,,0.0174,,0.0996,,,,,,0.1308,,,,,0.1284,,,,,,,,,,,,,,,,0.0129,,,,,,,,
H. salinarium (R11),,0.6248,0.2787,,,,0.0671,,,,,,,,,,0.0045,0.1959,0.4814,,,,,,0.0093,,0.114,,,,,,0.1731,,,,,0.1543,,,,,,,,,,,,,,,,0.0111,,,,,,,,
H. salinarium (R12),,0.2843,0.1471,,,,,,,,,,,,,,0.02,0.0884,0.4797,,,,,,0.0175,,0.0695,,,,,,0.0742,,,,,0.0711,,,,,,0.0052,,,,,,,,,,,,,,,,,,
H. salinarium (R13),,0.5123,0.2269,,,,0.0839,,,,,,,,,,0.0048,0.1604,0.4679,,,,,0.0413,0.0053,,0.0882,,,,,,0.1321,,,,,0.1221,,,,,,,,,,,,,,,,,,,,,,,,
H. salinarium (R14),,0.8704,0.3816,,0.0073,,,,,,,,,,,,0.0205,0.2737,0.5228,,,,,,0.0171,,0.1566,,,,,,0.239,,,,0.0084,0.2232,,0.0066,,,,0.0017,,,,,,,,,,0.0487,,,,,,,,
H. salinarium (R15),,0.216,0.1205,,,,0.062,,,,,0.1131,,0.0389,,,0.0169,0.0657,0.4876,,0.0145,,,0.0325,0.0171,,0.0594,,,,,,0.0493,,,,,0.0509,,,,,,0.0021,,,,,,,,,,,,,,,,,,
H. salinarium (R16),,0.5178,0.2314,,,,,,,,,0.0258,,0.0521,,,0.0055,0.1624,0.4748,,,,,,0.0068,,0.0936,,,,,,0.1289,,,,,0.1351,,,,,,,,,,,,,,,,,,,,,,,,
H. salinarium (R17),,0.447,0.2103,,,,,,,,,,,,,,,0.128,0.452,,,,,,0.0044,,0.0738,,,,,,0.1172,,,,,0.1051,,,,,,,,,,,,,,,,,,,,,,,,
H. salinarium (R18),,0.7745,0.3245,,,,,,,,,0.0305,,0.0083,,,0.0097,0.2396,0.496,,,,,,0.0109,,0.1349,,,,,,0.2116,,,,0.0023,0.2124,,,,,,,,,,,,,,,,0.0316,,,,,,,,
H. salinarium (R19),,0.4297,0.2007,,,,,,,,,0.0613,,0.0067,,,0.0161,0.1312,0.4932,,,,,0.0074,0.0168,,0.0874,,,,,,0.116,,,,,0.1147,,,,,,0.0036,,,,,,,,,,0.0146,,,,,,,,
H. salinarium (R20),,0.5597,0.2426,,,,0.2654,,,,,0.1191,,0.2283,,,0.0102,0.1698,0.508,,,,,0.0502,0.0145,,0.1054,,,,,,0.15,,,,,0.1444,,,,,,,,,,,,,,,,,,,,,,,,
H. salinarium (R21),,0.4565,0.2011,,,,,0.0015,,,,0.0852,,,,,0.0086,0.1297,0.4694,,,,,,0.0081,,0.0884,,,,,,0.1159,,,,,0.1109,,,,,,0.0025,,,,,,,,,,,,,,,,,,
H. salinarium (R22),,0.5238,0.2397,,0.0022,,,,,,,0.0606,,,,,0.0176,0.1606,0.5028,,0.0008,,,,0.0209,,0.1059,,,,,,0.1443,,,,0.0009,0.1347,,,,,,0.0034,,,,,,,,,,0.0198,,,,,,,,
H. salinarium (R23),,0.3585,0.1746,,,,,,,,,0.0069,,0.0032,,,0.0134,0.1129,0.4602,,,,,,0.0108,,0.0775,,,,,,0.0976,,,,,0.0961,,,,,,,,,,,,,,,,,,,,,,,,
H. salinarium (R24),,0.6274,0.2814,,0.0015,,,,,,,0.0646,,0.0327,,,0.012,0.1929,0.4982,,,,,0.069,0.0148,,0.1111,,,,,,0.1688,,,,,0.1576,,0.001,,,,0.0027,,,,,,,,,,0.0199,,,,,,,,
H. salinarium (R25),,0.3475,0.164,,,,,,,,,,,,,,0.0039,0.0975,0.4556,,,,,,0.0067,,0.0506,,,,,,0.0869,,,,,0.0553,,,,,,,,,,,,,,,,,,,,,,,,
Arabidopsis thaliana (R1),0.502806858,0.567007796,0.746345737,,,,,0.027997796,,,,,,,0.017406869,,0.591073317,0.011246306,0.530909514,,,,,0.029806642,0.040397569,,0.97045918,,0.004273072,,,,0.191711499,,,,,,,,,,,0.099801132,,,0.006160564,,,,,0.011508457,,0.028784251,,,,,,,,
Arabidopsis thaliana (R2),0.484167999,0.567505212,0.740257926,,,,,0.026589278,,,,,,,0.015027598,,0.581912048,,0.530932021,,,,,0.012829068,0.037426737,,0.949687291,0.002689966,0.004371195,,,,0.172106088,,,,,,,,,,,0.1001495,,,0.006155884,,,,,0.009621801,,0.029149919,,,,,,,,
Arabidopsis thaliana (R3),0.547913032,0.572081969,0.724708985,,,,,0.028945265,,0.005566397,,,,,0.013287528,,0.568634394,0.027472863,0.513365458,,,,,,0.039754849,,0.97595101,,,,,,0.216299416,,,,,,,,,,,0.092150806,,,,,,,,0.003770785,,0.025569514,,,,,,,,
Arabidopsis thaliana (R4),0.40630923,0.521246006,0.697614508,,,,,0.019312872,,,,,,,0.006717521,,0.570955658,,0.524336065,,,,,0.013804505,0.034561643,,0.863570853,,,,,,0.148692317,,,,,,,,,,,0.075874394,,,,,,,,,,0.020757138,,,,,,,,
Arabidopsis thaliana (R5),0.469647365,0.539848522,0.712696474,,,,,0.027363792,,,,,,,0.010717485,,0.561120612,0.030491082,0.524440101,,,,,,0.033748677,,0.908445313,,,,,,0.174183565,,,,,,,,0.005244727,,,0.090170209,,,,,,,,,,0.024529685,,,,,,,,
Arabidopsis thaliana (R6),0.396074137,0.510464153,0.672829735,,,,,0.019989819,,,,,,,0.006479459,,0.541344977,0.027296442,0.520114411,,,,,0.04204755,0.033465714,0.016646694,0.829956605,,,,,,0.146718378,,,,,,,,,,,0.076719547,,,,,,,,0.004204755,,0.019886423,,,,,,,,
Arabidopsis thaliana (R7),0.427920248,0.5312761,0.697792033,,,,,0.023557359,,,,,,,0.008928733,,0.566925139,0.030344514,0.511342951,,,,,,0.035451354,,0.852315128,,,,,,0.155873937,,,,,,,,,,,0.076767337,,,,,,,,0.004942103,,0.01930715,,,,,,,,
Arabidopsis thaliana (R8),0.304549253,0.469495289,0.640392387,,,,,0.010682883,,,,,,,0.006067181,,0.52790279,0.030858436,0.524883715,,,,,,0.032571181,0.01088609,0.720339832,,,,,,0.104999967,,,,,,,,,,,0.058959063,,,,,,,,,,0.012889131,,,,,,,,
Arabidopsis thaliana (R9),0.402553651,0.519417911,0.672374943,,,,,0.021401264,,,,,,,0.006773357,,0.542377366,,0.514520742,,,,,0.022736856,0.032244996,,0.819162813,,,,,,0.138615322,,,,,,,,,,,0.07418893,,,,,,,,0.003879575,,0.018475683,,,,,,,,
Arabidopsis thaliana (R10),0.330121476,0.48488673,0.76086673,,,,,0.01415282,,,,,,,0.006216141,,0.548324667,,0.517826726,,,,,0.029693172,0.033855767,0.0176494,0.749738728,,,,,,0.114637846,,,,,,,,,,,0.062022655,,,,,,,,0.004551103,,0.013597808,,,,,,,,
Arabidopsis thaliana (R11),0.509603052,0.574707982,0.742742994,,,,,0.024786141,,,,,,,0.012227829,,0.591442382,0.031606085,0.52979249,,,,,0.048821186,0.041580629,0.021210928,0.966989968,,,,,,0.200993068,,,,,,,,0.005437929,,,0.099895658,,,0.00528771,,,,,0.006189024,,0.029142493,,,,,,,,
Arabidopsis thaliana (R12),0.451746997,0.559054177,0.697099494,,,,,0.023001797,,,,,,,0.005836792,,0.589516016,0.031118046,0.52969753,,,,,0.037818269,0.034295472,,0.917550647,,,,,,0.166020475,,,,,,,,,,,0.081266107,,,,,,,,0.005076973,,0.018166584,,,,,,,,
Arabidopsis thaliana (R13),0.373159204,0.521125728,0.697539231,,,,,0.016802722,,,,,,,0.004555137,,0.574580709,0.027451486,0.525409367,,,,,0.036169595,0.036048929,0.021810356,0.820286587,,,,,,0.131948129,,,,,,,,0.003650143,,,0.073063185,,,,,,,,,,0.017436218,,,,,,,,
Arabidopsis thaliana (R14),0.388131814,0.536078976,0.692066056,,,,,0.01620645,,,,,,,,,0.573271512,0.032064714,0.520442284,,,,,0.037192536,0.034723585,0.020796167,0.834695477,,,,,,0.144813493,,,,,,,,,,,0.075682855,,,,,,,,0.00294375,,0.018137296,,,,,,,,
Arabidopsis thaliana (R15),0.457652783,0.554548052,0.702174847,,,,,0.023260048,,0.007807342,,,,,0.008066507,,0.556815745,0.024361499,0.51538176,,,,,0.006446726,0.038064842,0.870632019,,,,,,,0.1704657,,,,,,,,0.004243825,,,0.079239662,,,,,,,,,,0.020830377,,,,,,,,
Arabidopsis thaliana (R16),0.493153717,0.598304274,0.72268852,,,,,0.027473278,,,,,,,0.018802548,,0.560148274,0.024311575,0.508147851,,,,,,0.024790621,,0.929492599,0.003089846,0.006491071,,,,0.183258977,,,,,,,,0.004622792,,,0.092096558,,,0.004239555,,,,,0.006850355,,0.026850518,,,,,,,,
Arabidopsis thaliana (R17),0.407268879,0.531968258,0.698245872,,,,,0.019747012,,,,,,,0.009926494,,0.563549347,0.019535059,0.516672272,,,,,0.05214059,0.031510438,0.016320429,0.873708143,,,,,,0.159919005,,,,,,,,,,,0.079623909,,,0.003285281,,,,,0.006393934,,0.021230687,,,,,,,,
Arabidopsis thaliana (R18),0.441684208,0.531104766,0.783610862,,,,,0.024203016,,,,,,,0.015227615,,0.57739894,0.0204239,0.531577156,,,,,,0.034929037,,0.918102939,,,,,,0.16655899,,,,,,,,,0.003223364,,0.081445512,,,0.007613808,,,,,0.010809384,,0.024536468,,,,,,,,
Arabidopsis thaliana (R19),0.581988752,0.626349702,0.946357193,,,,,0.034148568,,,,,,,0.022677927,,0.599867736,0.015596561,0.517934582,,,,,0.034470448,0.026043038,0.009393051,1.047749472,,0.004974513,,,,0.202960128,,,,,,,,,,,0.106922766,,,0.009129694,,,,,0.010475739,,0.03163205,,,,,,,,
Arabidopsis thaliana (R20),0.51361244,0.582189106,0.746647695,,,,,0.027561777,,,,,,,0.019353099,,0.585409872,0.016388854,0.516576685,,,,,,0.032321671,,0.970875723,0.003106757,0.003562794,,,,0.185208304,,,,,,,,,0.004104339,,0.091407053,,,0.008607711,,,,,0.011315435,,0.02602265,,,,,,,,
Arabidopsis thaliana (R21),0.405884187,0.531696173,0.687229726,,,,,0.025125129,,,,,,,0.007422628,,0.57194607,0.01760933,0.528714699,,,,,0.056710118,0.034535406,0.024969844,0.855869342,,,,,,0.159570966,,,,,,,,,,,0.078543202,,,0.003726842,,,,,0.005124408,,0.023696506,,,,,,,,
Arabidopsis thaliana (R22),0.421547719,0.542561313,0.702579531,,,,,0.023618817,,,,,,,0.008992084,,0.571931561,0.025808448,0.52229993,,,,,0.035413629,0.034771337,0.012407908,0.867531717,,,,,,0.160456144,,,,,,,,,,,0.077863271,,,,,,,,0.004087311,,0.021020456,,,,,,,,
Arabidopsis thaliana (R23),0.329266491,0.492315846,0.64464348,,,,,0.016935446,,,,,,,0.006091887,,0.537152134,0.01507742,0.513759288,,,,,,0.030093922,,0.749972206,,,,,,0.125827926,,,,,,,,,,,0.060522897,,,,,,,,,,0.012701584,,,,,,,,
Arabidopsis thaliana (R24),0.356624342,0.531597432,0.643706411,,,,,0.022479638,,,,,,,0.007309169,,0.524787811,0.014539462,0.504043443,,,,,,0.026291974,,0.760837158,,,,0.002786949,,0.131275829,,,,,,,,,,,0.061549512,,,,,,,,,,0.015564849,,,,,,,,
Arabidopsis thaliana (R25),0.298485993,0.480527044,0.649939519,,,,,0.01530483,,,,,,,0.004822833,,0.556577271,0.014580011,0.524434342,,,,,,0.034289509,0.004934344,0.736611132,,,,,,0.112291172,,,,,,,,,,,0.056034075,,,,,,,,,,0.011875879,,,,,,,,
S. cerevesiae-trf4 (R1),1.03884466,0.838176004,0.714540151,,,,,0.08801467,,,,,,,,,0.440233087,,0.531961625,,,,,0.04336839,0.060060828,,1.044515296,,0.028033711,,,,0.286367151,,0.011381207,,,,,0.031907315,,0.061378652,,,,,,,,,,,,0.067009354,,,,,,,,
S. cerevesiae-trf4 (R2),1.010762651,0.888507474,0.704974887,,,,,0.093369395,,,,,,,,,0.449976957,,0.534207178,,,,,,0.057292132,,1.051843986,0.004284924,0.02780706,,,,0.296738484,,0.016750158,,,,,0.032451558,,0.067629886,,,,,,,,,,,,0.067510028,,,,,0.003385989,,0.008210274,
S. cerevesiae-trf4 (R3),1.313518094,1.036121097,0.845761544,,,,,0.116558046,,,,,,,,,0.457234723,,0.542822162,,,,,0.047589888,0.07160791,,1.233061439,0.00557694,0.034316771,,,,0.362686999,,0.018255184,,,,,0.04554501,,0.070715599,,,,,,,,,,,,0.088413089,,,,,0.006023095,,0.006357712,
